學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0005,國立成功大學,05111003,生命科學系,D 日,M 碩士,13,7,6,13,7,8,2,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05111003,生命科學系,D 日,B 學士,29,19,29,15,32,21,22,20,-,-,-,-,-,-,9,3,21 臺南市,1 一般
0005,國立成功大學,05111005,熱帶植物科學研究所,D 日,M 碩士,3,5,2,2,1,3,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05121008,生物科技與產業科學系,D 日,D 博士,-,2,2,-,1,2,2,-,2,5,-,3,2,5,-,-,21 臺南市,1 一般
0005,國立成功大學,05121008,生物科技與產業科學系,D 日,M 碩士,21,13,10,19,4,6,-,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05121008,生物科技與產業科學系,D 日,B 學士,30,11,25,8,20,9,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05122009,微生物及免疫學研究所,D 日,M 碩士,12,13,6,19,7,4,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05123010,生物化學暨分子生物學研究所,D 日,M 碩士,7,18,10,13,6,3,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05199016,跨領域神經科學國際博士學位學程,D 日,D 博士,3,1,1,2,4,2,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05291025,自然災害減災及管理國際碩士學位學程,D 日,M 碩士,4,2,4,5,1,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05311017,化學系,D 日,D 博士,3,-,1,1,2,-,2,1,2,-,1,-,6,3,-,-,21 臺南市,1 一般
0005,國立成功大學,05311017,化學系,D 日,M 碩士,38,19,31,17,3,1,1,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05311017,化學系,D 日,B 學士,36,18,42,23,48,13,30,22,-,-,-,-,-,-,13,2,21 臺南市,1 一般
0005,國立成功大學,05321019,地球科學系,D 日,D 博士,2,2,-,-,2,1,1,2,2,1,-,2,1,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05321019,地球科學系,D 日,M 碩士,21,3,16,4,3,3,3,2,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05321019,地球科學系,D 日,B 學士,34,10,28,11,21,12,28,11,-,-,-,-,-,-,6,2,21 臺南市,1 一般
0005,國立成功大學,05321019,地球科學系,N 職,M 碩士,1,2,3,2,3,1,-,-,2,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05331021,物理學系,D 日,D 博士,5,-,5,2,7,-,3,-,5,-,3,-,4,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05331021,物理學系,D 日,M 碩士,34,6,39,3,5,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05331021,物理學系,D 日,B 學士,43,5,49,7,38,8,50,4,-,-,-,-,-,-,9,3,21 臺南市,1 一般
0005,國立成功大學,05331023,太空與電漿科學研究所,D 日,D 博士,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05331023,太空與電漿科學研究所,D 日,M 碩士,7,-,8,-,5,2,4,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05411027,數學系,D 日,D 博士,1,1,2,-,2,-,1,1,1,-,-,-,2,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05411027,數學系,D 日,M 碩士,17,6,19,5,7,3,5,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05411027,數學系,D 日,B 學士,42,14,40,13,28,11,27,10,-,-,-,-,-,-,15,1,21 臺南市,1 一般
0005,國立成功大學,05421029,統計學系,D 日,D 博士,2,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05421029,統計學系,D 日,M 碩士,10,20,7,14,-,-,1,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,05421029,統計學系,D 日,B 學士,28,28,32,27,32,25,31,27,-,-,-,-,-,-,4,4,21 臺南市,1 一般
0005,國立成功大學,06131030,資訊管理研究所,D 日,D 博士,1,3,1,-,-,1,2,1,-,1,1,-,1,1,-,-,21 臺南市,1 一般
0005,國立成功大學,06131030,資訊管理研究所,D 日,M 碩士,15,8,14,8,2,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,06131031,多媒體系統與智慧型運算工程博士學位學程,D 日,D 博士,1,1,2,-,-,-,2,-,1,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,06131036,資訊工程學系,D 日,D 博士,10,1,5,2,6,2,9,1,7,2,7,1,4,1,-,-,21 臺南市,1 一般
0005,國立成功大學,06131036,資訊工程學系,D 日,M 碩士,107,21,80,24,32,6,6,1,1,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,06131036,資訊工程學系,D 日,B 學士,77,23,87,32,90,27,78,26,-,-,-,-,-,-,18,2,21 臺南市,1 一般
0005,國立成功大學,06131095,醫學資訊研究所,D 日,M 碩士,12,4,9,5,3,1,-,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07111050,化學工程學系,D 日,D 博士,5,2,8,3,9,-,5,2,2,1,3,1,7,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07111050,化學工程學系,D 日,M 碩士,75,39,81,31,3,5,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07111050,化學工程學系,D 日,B 學士,96,33,97,43,109,27,101,35,-,-,-,-,-,-,31,-,21 臺南市,1 一般
0005,國立成功大學,07112063,材料科學及工程學系,D 日,D 博士,5,3,2,-,11,-,5,2,3,3,6,2,5,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07112063,材料科學及工程學系奈微科技博士班,D 日,D 博士,-,-,2,-,1,-,1,-,1,-,-,-,3,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07112063,材料科學及工程學系,D 日,M 碩士,88,24,84,23,17,5,3,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07112063,材料科學及工程學系,D 日,B 學士,66,21,61,22,64,16,56,20,-,-,-,-,-,-,9,2,21 臺南市,1 一般
0005,國立成功大學,07112065,尖端材料國際碩士學位學程,D 日,M 碩士,2,5,6,7,1,1,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07121070,環境工程學系,D 日,D 博士,5,-,3,-,2,-,1,-,3,-,2,-,1,1,-,-,21 臺南市,1 一般
0005,國立成功大學,07121070,環境工程學系,D 日,M 碩士,22,21,24,24,6,1,1,2,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07121070,環境工程學系,D 日,B 學士,36,19,35,16,35,20,36,19,-,-,-,-,-,-,5,5,21 臺南市,1 一般
0005,國立成功大學,07122026,水利及海洋工程學系,D 日,D 博士,3,3,6,4,5,-,4,1,7,-,4,-,5,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07122026,水利及海洋工程學系,D 日,M 碩士,28,17,32,12,-,2,2,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07122026,水利及海洋工程學系,D 日,B 學士,34,18,44,6,38,5,39,11,-,-,-,-,-,-,10,-,21 臺南市,1 一般
0005,國立成功大學,07122026,水利及海洋工程學系,N 職,M 碩士,10,2,9,1,5,-,4,-,3,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07132052,能源工程國際博士學位學程,D 日,D 博士,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07132052,能源工程國際碩士學位學程,D 日,M 碩士,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07132074,能源國際學士學位學程,D 日,B 學士,27,11,22,10,15,10,14,10,-,-,-,-,-,-,5,3,21 臺南市,1 一般
0005,國立成功大學,07141032,電機工程學系,D 日,D 博士,17,3,19,2,15,1,18,1,18,-,20,-,13,1,-,-,21 臺南市,1 一般
0005,國立成功大學,07141032,電機工程學系,D 日,M 碩士,164,26,149,30,61,8,9,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141032,電機工程學系,D 日,B 學士,112,32,143,29,132,18,129,14,-,-,-,-,-,-,35,-,21 臺南市,1 一般
0005,國立成功大學,07141032,電機工程學系,N 職,M 碩士,17,1,13,-,13,-,17,1,8,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141033,微電子工程研究所,D 日,D 博士,5,-,2,2,12,1,6,1,9,-,7,1,6,1,-,-,21 臺南市,1 一般
0005,國立成功大學,07141033,微電子工程研究所,D 日,M 碩士,53,3,49,4,2,1,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141035,光電科學與工程學系,D 日,D 博士,8,-,5,1,11,1,5,1,4,1,4,1,3,1,-,-,21 臺南市,1 一般
0005,國立成功大學,07141035,光電科學與工程學系,D 日,M 碩士,62,8,49,8,12,2,1,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141035,光電科學與工程學系,D 日,B 學士,41,9,46,5,38,6,35,11,-,-,-,-,-,-,10,-,21 臺南市,1 一般
0005,國立成功大學,07141037,電腦與通信工程研究所,D 日,D 博士,6,-,2,-,3,-,11,-,5,-,3,1,12,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141037,電腦與通信工程研究所,D 日,M 碩士,84,19,81,10,32,4,9,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141040,奈米積體電路工程博士學位學程,D 日,D 博士,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141040,奈米積體電路工程碩士學位學程,D 日,M 碩士,13,2,11,3,2,1,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141041,製造資訊與系統研究所,D 日,D 博士,8,1,1,2,2,1,2,1,-,-,3,3,1,2,-,-,21 臺南市,1 一般
0005,國立成功大學,07141041,製造資訊與系統研究所,D 日,M 碩士,20,6,14,10,12,-,3,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141C01,電機工程學系微波元件產業碩士專班,D 日,M 碩士,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141C02,電機工程學系電力電子產業碩士專班,D 日,M 碩士,8,1,6,-,1,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141C04,電機工程學系電機設計與驅動產業碩士專班,D 日,M 碩士,12,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141C05,電機工程學系積體電路設計與製程開發產業碩士專班,D 日,M 碩士,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07141C18,電機工程學系先進RF技術產業碩士專班,D 日,M 碩士,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07151042,機械工程學系,D 日,D 博士,15,1,13,1,10,2,8,-,3,1,4,-,7,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07151042,機械工程學系,D 日,M 碩士,150,28,139,16,36,1,2,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07151042,機械工程學系,D 日,B 學士,144,20,136,18,132,18,146,16,-,-,-,-,-,-,29,3,21 臺南市,1 一般
0005,國立成功大學,07162043,航空太空工程學系,D 日,D 博士,12,-,9,-,2,-,4,-,5,1,5,-,9,1,-,-,21 臺南市,1 一般
0005,國立成功大學,07162043,航空太空工程學系,D 日,M 碩士,83,10,93,12,13,2,5,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07162043,航空太空工程學系,D 日,B 學士,48,13,53,10,54,12,54,10,-,-,-,-,-,-,10,-,21 臺南市,1 一般
0005,國立成功大學,07162043,航空太空工程學系,N 職,M 碩士,11,2,10,2,11,1,2,-,2,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07162100,民航研究所,D 日,M 碩士,5,3,4,5,1,3,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07163044,系統及船舶機電工程學系,D 日,D 博士,3,-,3,-,2,-,3,-,2,-,1,-,1,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07163044,系統及船舶機電工程學系,D 日,M 碩士,40,1,36,5,1,1,3,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07163044,系統及船舶機電工程學系,D 日,B 學士,46,8,38,6,43,7,41,7,-,-,-,-,-,-,9,-,21 臺南市,1 一般
0005,國立成功大學,07191072,工程管理碩士在職專班,N 職,M 碩士,26,11,28,7,24,11,10,2,9,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07193061,生物醫學工程學系,D 日,D 博士,12,3,7,2,7,1,5,2,5,1,6,4,8,3,-,-,21 臺南市,1 一般
0005,國立成功大學,07193061,生物醫學工程學系,D 日,M 碩士,22,18,27,14,11,3,1,2,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07193061,生物醫學工程學系醫療器材創新國際碩士班,D 日,M 碩士,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07193061,生物醫學工程學系,D 日,B 學士,18,14,19,17,22,12,16,15,-,-,-,-,-,-,2,1,21 臺南市,1 一般
0005,國立成功大學,07194071,工程科學系,D 日,D 博士,9,2,5,3,7,-,2,1,3,-,5,-,6,1,-,-,21 臺南市,1 一般
0005,國立成功大學,07194071,工程科學系,D 日,M 碩士,77,11,60,18,19,-,1,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07194071,工程科學系,D 日,B 學士,41,13,56,10,44,13,44,11,-,-,-,-,-,-,7,2,21 臺南市,1 一般
0005,國立成功大學,07194071,工程科學系,N 職,M 碩士,26,7,23,6,19,4,8,2,3,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07211127,食品安全衛生暨風險管理研究所,D 日,M 碩士,5,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07241064,資源工程學系,D 日,D 博士,9,1,5,4,9,2,4,1,3,2,6,1,6,2,-,-,21 臺南市,1 一般
0005,國立成功大學,07241064,資源工程學系,D 日,M 碩士,31,15,22,16,3,1,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07241064,資源工程學系,D 日,B 學士,42,10,34,15,31,12,39,16,-,-,-,-,-,-,3,1,21 臺南市,1 一般
0005,國立成功大學,07311075,建築學系,D 日,D 博士,7,2,8,4,2,2,8,4,7,2,4,3,5,2,-,-,21 臺南市,1 一般
0005,國立成功大學,07311075,建築學系,D 日,M 碩士,41,35,25,39,21,13,3,10,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07311075,建築學系,D 日,B 學士,35,21,35,27,30,27,30,30,-,-,-,-,-,-,24,29,21 臺南市,1 一般
0005,國立成功大學,07311075,建築學系,N 職,M 碩士,5,5,9,3,7,3,4,1,5,2,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07313076,都市計劃學系,D 日,D 博士,6,1,2,-,-,3,1,-,2,2,-,1,-,1,-,-,21 臺南市,1 一般
0005,國立成功大學,07313076,都市計劃學系,D 日,M 碩士,21,25,13,21,5,8,1,2,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07313076,都市計劃學系,D 日,B 學士,22,27,18,31,17,22,16,29,-,-,-,-,-,-,14,7,21 臺南市,1 一般
0005,國立成功大學,07321049,土木工程學系,D 日,D 博士,7,3,4,-,6,-,5,1,4,-,3,1,4,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07321049,土木工程學系,D 日,M 碩士,87,28,82,28,12,3,2,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07321049,土木工程學系,D 日,B 學士,85,26,88,20,86,26,90,23,-,-,-,-,-,-,14,1,21 臺南市,1 一般
0005,國立成功大學,07321049,土木工程學系,N 職,M 碩士,12,3,8,5,6,-,3,-,5,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07322067,測量及空間資訊學系,D 日,D 博士,7,1,5,-,2,-,5,-,3,-,2,1,2,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07322067,測量及空間資訊學系,D 日,M 碩士,18,9,16,10,6,2,-,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,07322067,測量及空間資訊學系,D 日,B 學士,33,23,32,14,28,15,38,12,-,-,-,-,-,-,4,3,21 臺南市,1 一般
0005,國立成功大學,08192039,轉譯農業科學博士學位學程,D 日,D 博士,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09111096,口腔醫學研究所,D 日,M 碩士,2,7,6,7,1,1,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09121053,基礎醫學研究所,D 日,D 博士,7,7,8,13,14,4,4,9,14,7,5,6,12,7,-,-,21 臺南市,1 一般
0005,國立成功大學,09121054,分子醫學研究所,D 日,M 碩士,5,12,6,11,2,3,2,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09121077,醫學系,D 日,B 學士,59,32,56,28,49,28,46,30,48,27,54,21,43,35,9,-,21 臺南市,1 一般
0005,國立成功大學,09121078,臨床醫學研究所,D 日,D 博士,8,3,6,3,8,3,6,5,5,-,8,-,8,2,-,-,21 臺南市,1 一般
0005,國立成功大學,09121078,臨床醫學研究所,D 日,M 碩士,4,10,5,9,1,3,1,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09121078,臨床醫學研究所,N 職,M 碩士,10,1,6,1,8,-,1,-,-,1,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09121083,生理學研究所,D 日,M 碩士,5,12,4,7,2,6,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09121084,細胞生物與解剖學研究所,D 日,M 碩士,2,4,2,7,-,4,1,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09131090,護理學系國際博士班,D 日,D 博士,1,5,1,7,-,7,2,3,-,4,1,2,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09131090,護理學系,D 日,M 碩士,5,21,4,29,1,16,-,10,-,3,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09131090,護理學系,D 日,B 學士,5,34,11,28,8,25,8,20,-,-,-,-,-,-,1,2,21 臺南市,1 一般
0005,國立成功大學,09131091,健康照護科學研究所,D 日,D 博士,1,6,2,2,2,1,1,5,1,7,1,3,-,5,-,-,21 臺南市,1 一般
0005,國立成功大學,09141094,醫學檢驗生物技術學系,D 日,M 碩士,12,11,3,16,1,4,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09141094,醫學檢驗生物技術學系,D 日,B 學士,13,21,15,15,13,26,11,17,-,-,-,-,-,-,1,3,21 臺南市,1 一般
0005,國立成功大學,09151082,物理治療學系,D 日,M 碩士,2,10,4,6,2,1,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09151082,物理治療學系,D 日,B 學士,10,18,15,23,13,19,12,17,-,-,-,-,-,-,7,6,21 臺南市,1 一般
0005,國立成功大學,09152089,職能治療學系,D 日,M 碩士,1,5,1,6,1,4,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09152089,職能治療學系,D 日,B 學士,12,18,13,19,10,18,9,16,-,-,-,-,-,-,4,5,21 臺南市,1 一般
0005,國立成功大學,09161086,藥學系,D 日,B 學士,13,19,15,12,15,19,13,12,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09161087,藥理學研究所,D 日,M 碩士,10,11,7,7,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09161088,臨床藥學與藥物科技研究所,D 日,D 博士,1,3,2,2,3,2,-,-,2,1,2,2,1,1,-,-,21 臺南市,1 一般
0005,國立成功大學,09161088,臨床藥學與藥物科技研究所,D 日,M 碩士,2,8,4,8,-,2,-,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09191079,公共衛生研究所,D 日,D 博士,2,1,1,3,2,2,3,-,-,1,2,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09191079,公共衛生研究所,D 日,M 碩士,4,8,1,9,1,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09191079,醫學院公共衛生碩士在職專班,N 職,M 碩士,5,5,8,2,3,2,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09191085,環境醫學研究所,D 日,D 博士,4,2,2,1,3,1,1,-,3,-,2,-,-,1,-,-,21 臺南市,1 一般
0005,國立成功大學,09191085,環境醫學研究所,D 日,M 碩士,5,16,9,12,1,9,2,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,09211101,老年學研究所,D 日,M 碩士,2,11,5,11,3,3,1,2,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,10152097,體育健康與休閒研究所,D 日,M 碩士,8,7,7,7,7,2,-,1,1,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,10152097,體育健康與休閒研究所運動健康與休閒管理碩士在職專班,N 職,M 碩士,7,9,5,6,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,10411098,交通管理科學系,D 日,D 博士,-,2,1,1,3,-,1,-,-,-,1,1,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,10411098,交通管理科學系,D 日,M 碩士,22,15,15,16,2,3,2,1,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,10411098,交通管理科學系,D 日,B 學士,31,22,33,26,32,19,35,21,-,-,-,-,-,-,7,4,21 臺南市,1 一般
0005,國立成功大學,10411098,交通管理科學系,N 職,M 碩士,15,7,8,12,9,7,7,4,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,99999102,大一全校不分系學士學位學程,D 日,B 學士,7,5,1,6,2,1,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
0006,國立中興大學,01111001,教師專業發展研究所,D 日,M 碩士,3,7,2,7,-,4,1,1,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,02221007,歷史學系,D 日,D 博士,3,1,5,1,3,-,3,4,3,-,2,-,-,1,-,-,19 臺中市,1 一般
0006,國立中興大學,02221007,歷史學系,D 日,M 碩士,8,4,9,3,6,5,7,5,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,02221007,歷史學系,D 日,B 學士,30,29,19,35,28,27,33,23,-,-,-,-,-,-,14,7,19 臺中市,1 一般
0006,國立中興大學,02221007,歷史學系,N 職,M 碩士,5,2,-,1,5,3,-,1,4,1,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,02299008,文化創意產業學士學位學程,P 進,B 學士,10,21,21,23,15,29,16,23,4,11,-,-,-,-,3,-,19 臺中市,1 一般
0006,國立中興大學,02311006,外國語文學系,D 日,M 碩士,1,3,-,8,5,2,5,6,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,02311006,外國語文學系,D 日,B 學士,13,49,9,51,14,46,14,47,-,-,-,-,-,-,3,12,19 臺中市,1 一般
0006,國立中興大學,02311006,外國語文學系,P 進,B 學士,22,33,18,31,12,34,16,31,9,17,-,-,-,-,2,5,19 臺中市,1 一般
0006,國立中興大學,02321003,台灣文學與跨國文化研究所,D 日,M 碩士,1,6,4,7,5,2,6,10,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,02321003,台灣文學與跨國文化研究所,N 職,M 碩士,3,5,2,12,2,4,-,-,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,02321003,台灣文學與跨國文化研究所教師在職進修碩士學位班,N 職,M 碩士,-,-,-,-,-,-,2,7,2,2,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,02321004,台灣與跨文化研究國際博士學位學程,D 日,D 博士,-,2,2,-,-,1,1,-,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,02322005,中國文學系,D 日,D 博士,-,2,3,7,5,2,2,2,3,2,2,3,2,-,-,-,19 臺中市,1 一般
0006,國立中興大學,02322005,中國文學系,D 日,M 碩士,6,16,6,8,9,11,2,8,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,02322005,中國文學系,D 日,B 學士,12,46,5,48,8,53,7,53,-,-,-,-,-,-,2,15,19 臺中市,1 一般
0006,國立中興大學,02322005,中國文學系,N 職,M 碩士,4,8,-,3,-,11,2,7,2,4,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,02322005,中國文學系,P 進,B 學士,7,29,13,25,13,22,11,23,8,7,-,-,-,-,3,3,19 臺中市,1 一般
0006,國立中興大學,03111009,應用經濟學系,D 日,D 博士,2,3,2,2,2,1,1,1,2,3,1,2,-,3,-,-,19 臺中市,1 一般
0006,國立中興大學,03111009,應用經濟學系,D 日,M 碩士,7,7,11,4,2,1,3,2,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,03111009,應用經濟學系,D 日,B 學士,35,25,28,28,32,28,29,26,-,-,-,-,-,-,6,1,19 臺中市,1 一般
0006,國立中興大學,03111009,應用經濟學系,N 職,M 碩士,5,8,9,6,-,-,2,1,1,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,03122010,國際政治研究所,D 日,D 博士,2,2,1,2,3,1,2,1,-,-,3,2,1,-,-,-,19 臺中市,1 一般
0006,國立中興大學,03122010,國際政治研究所,D 日,M 碩士,8,6,11,8,4,6,2,2,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,03122010,國際政治研究所,N 職,M 碩士,11,9,13,8,6,2,5,4,2,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,03122012,全球事務研究跨洲碩士學位學程,D 日,M 碩士,7,8,3,11,4,7,-,-,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,03222013,圖書資訊學研究所,D 日,M 碩士,3,8,-,6,2,5,2,11,-,1,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,04111015,會計學系,D 日,M 碩士,12,10,8,13,-,-,-,-,-,-,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,04111015,會計學系,D 日,B 學士,11,33,24,20,20,27,9,28,-,-,-,-,-,-,1,1,19 臺中市,1 一般
0006,國立中興大學,04121019,財務金融學系,D 日,D 博士,2,-,-,2,2,1,4,-,2,1,1,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,04121019,財務金融學系,D 日,M 碩士,20,12,18,8,2,4,-,1,-,-,-,-,-,-,-,-,19 臺中市,1 一般
